股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap,T+5最新收盤價,T+5漲跌幅(%),T+10最新收盤價,T+10漲跌幅(%)
8091,翔名,OTC,288.0,283.8,278.7,133,8,"(-273, +71, +133)","(+0, -3, +8)",1382,【主力點火資】,False,True,False,247.5,-7.65,193.5,-27.8
2646,星宇航空,TSE,21.55,21.27,21.26,120,0,"(-71, -21, +120)","(-6, +0, +0)",3980,【主力點火資】,False,True,False,21.25,0.24,21.55,1.65
2482,連宇,TSE,19.09,18.54,17.43,111,-15,"(-9, -5, +111)","(+0, +25, -15)",1472,【主力點火資】,False,True,False,17.7,-1.66,16.0,-11.09
1402,遠東新,TSE,27.8,26.69,27.07,101,16,"(-129, -486, +101)","(+73, +29, +16)",29050,【主力點火資】,False,True,False,27.2,-1.81,27.15,-1.99
6177,達麗,TSE,48.0,46.46,46.08,98,1,"(-157, -66, +98)","(-3, +0, +1)",1211,【主力點火資】,False,True,False,48.5,2.11,47.45,-0.11
8050,廣積,OTC,59.02,58.21,54.5,93,-2,"(+170, -5, +93)","(+0, +1, -2)",2601,【主力點火資】,False,True,False,60.85,10.14,54.8,-0.81
2801,彰銀,TSE,23.95,23.84,23.54,90,0,"(+9, +101, +90)","(-13, -2, +0)",13303,【主力點火資】,False,True,False,24.25,1.46,24.8,3.77
1605,華新,TSE,34.75,34.26,36.06,87,-40,"(+348, -1339, +87)","(+10, +98, -40)",15008,【主力點火資】,False,True,True,33.65,3.22,28.6,-12.27
3374,精材,OTC,395.0,375.4,319.61,83,-23,"(+2007, +1137, +83)","(+29, +130, -23)",17320,【主力點火資】,False,True,False,403.0,12.41,252.0,-29.71
1229,聯華,TSE,41.45,40.47,40.15,82,0,"(-47, +9, +82)","(-2, +0, +0)",1895,【主力點火資】,False,True,False,42.5,4.04,40.45,-0.98
6547,高端疫苗,OTC,47.7,46.76,46.33,74,13,"(+177, +70, +74)","(-56, +90, +13)",1748,【主力點火資】,False,True,False,46.8,1.41,45.6,-1.19
2520,冠德,TSE,35.9,35.54,34.85,64,4,"(-80, -18, +64)","(-17, +2, +4)",1403,【主力點火資】,False,True,False,35.1,-1.68,35.1,-1.68
2476,鉅祥,TSE,131.5,127.7,129.07,63,4,"(+28, +309, +63)","(-6, +16, +4)",2415,【主力點火資】,False,True,False,120.5,1.69,105.5,-10.97
3290,東浦,OTC,68.0,67.34,67.36,60,11,"(-187, +16, +60)","(+4, +0, +11)",1205,【主力點火資】,False,True,False,61.3,-2.08,50.8,-18.85
3551,世禾,OTC,213.0,206.53,200.34,60,1,"(+27, +85, +60)","(+0, +0, +1)",2259,【主力點火資】,False,True,False,187.0,-2.86,155.0,-19.48
2511,太子,TSE,8.33,8.21,8.03,57,0,"(-180, -9, +57)","(+0, +0, +0)",1129,【主力點火資】,False,True,False,8.21,-0.23,8.22,-0.08
6257,矽格,TSE,238.0,235.9,238.46,56,-3,"(+76, -145, +56)","(-21, +8, -3)",5208,【主力點火資】,False,True,True,226.0,5.36,173.5,-19.11
3033,威健,TSE,54.2,52.18,50.39,55,-55,"(+633, +3288, +55)","(-11, +512, -55)",27061,【主力點火資】,False,True,False,50.5,3.48,42.1,-13.73
1563,巧新,TSE,65.1,63.6,64.25,47,0,"(+295, +129, +47)","(+0, +0, +0)",1312,【主力點火資】,False,True,False,61.0,0.0,52.9,-13.28
2328,廣宇,TSE,49.35,48.78,49.82,42,-1,"(-427, -103, +42)","(+0, +10, -1)",2640,【主力點火資】,False,True,True,46.5,0.65,38.8,-16.02
5009,榮剛,OTC,34.95,34.47,33.65,42,0,"(+98, -204, +42)","(-4, +0, +0)",3822,【主力點火資】,False,True,False,34.1,1.79,31.5,-5.97
2912,統一超,TSE,236.33,233.44,223.82,41,0,"(-19, +15, +41)","(+0, +0, +0)",2728,【主力點火資】,False,True,False,228.15,-2.47,230.0,-1.68
3479,安勤,OTC,146.0,144.8,138.83,41,-44,"(-1, +194, +41)","(+46, +60, -44)",1984,【主力點火資】,False,True,False,153.5,11.64,127.0,-7.64
6533,晶心科,TSE,228.0,216.4,202.85,40,-1,"(+45, -13, +40)","(-3, +3, -1)",1761,【主力點火資】,False,True,False,214.0,1.9,202.0,-3.81
2308,台達電,TSE,1905.0,1884.0,1956.5,39,-6,"(-236, +63, +39)","(+0, +8, -6)",7001,【主力點火資】,False,True,True,1880.0,8.05,1530.0,-12.07
5434,崇越,TSE,596.0,543.51,511.88,37,1,"(+11, +87, +37)","(+0, +0, +1)",2381,【主力點火資】,False,True,False,559.0,-0.53,475.5,-15.39
2338,光罩,TSE,48.0,47.85,49.89,35,-2,"(-185, +29, +35)","(+30, -34, -2)",3073,【主力點火資】,False,True,True,42.0,-2.78,33.5,-22.45
2539,櫻花建,TSE,41.2,40.42,39.46,35,-4,"(+58, +34, +35)","(+0, +0, -4)",1104,【主力點火資】,False,True,False,40.4,-0.98,42.95,5.27
2049,上銀,TSE,332.0,326.8,333.67,34,6,"(-154, +8, +34)","(-2, -6, +6)",2073,【主力點火資】,False,True,True,319.5,4.41,283.0,-7.52
1326,台化,TSE,68.9,66.34,60.8,33,20,"(-3054, +648, +33)","(+196, +132, +20)",84689,【主力點火資】,False,True,False,71.7,8.47,56.4,-14.67
3498,陽程,OTC,129.5,125.9,122.0,30,-2,"(-515, -9, +30)","(+8, -1, -2)",3132,【主力點火資】,False,True,False,114.5,-2.14,86.3,-26.24
1907,永豐餘,TSE,28.4,27.81,26.91,29,-1,"(-40, -14, +29)","(+81, -74, -1)",2019,【主力點火資】,False,True,False,28.05,-0.36,29.0,3.02
2360,致茂,TSE,1990.0,1877.0,2072.75,29,4,"(-99, +99, +29)","(-16, -1, +4)",2135,【主力點火資】,False,True,True,2155.0,16.49,1910.0,3.24
6414,樺漢,TSE,400.0,390.9,381.65,29,58,"(-16, +6, +29)","(-4, +18, +58)",1405,【主力點火資】,False,True,False,503.0,27.34,403.0,2.03
3615,安可,OTC,45.65,45.52,50.23,27,2,"(-459, +46, +27)","(+0, +0, +2)",1364,【主力點火資】,False,True,True,38.7,-6.07,30.6,-25.73
5871,中租-KY,TSE,112.31,109.7,107.96,23,6,"(-219, -140, +23)","(-23, +1, +6)",7114,【主力點火資】,False,True,False,112.31,0.84,110.5,-0.79
8421,旭源,OTC,16.5,15.9,13.97,23,-14,"(+284, +29, +23)","(+4, +14, -14)",1548,【主力點火資】,False,True,False,15.15,-0.98,15.4,0.65
2882,國泰金,TSE,97.3,96.6,99.63,22,10,"(-78, -96, +22)","(+3, -2, +10)",15804,【主力點火資】,False,True,True,97.3,3.18,95.2,0.95
2425,承啟,TSE,43.35,43.21,41.45,21,0,"(+19, +168, +21)","(+11, -14, +0)",3316,【主力點火資】,False,True,False,45.8,11.03,42.7,3.52
4147,中裕,OTC,66.0,65.86,65.34,21,4,"(+45, -30, +21)","(+0, +2, +4)",1238,【主力點火資】,False,True,False,59.0,-1.5,56.2,-6.18
4167,松瑞藥,OTC,19.33,18.84,18.28,18,0,"(+5, -53, +18)","(+0, +0, +0)",1060,【主力點火資】,False,True,False,18.48,-0.24,16.7,-9.83
2317,鴻海,TSE,242.5,238.2,243.09,15,5,"(+155, -6, +15)","(+53, +54, +5)",31139,【主力點火資】,False,True,True,257.5,10.04,229.5,-1.92
9934,成霖,TSE,10.8,10.71,10.31,15,1,"(+67, +35, +15)","(+3, -3, +1)",1660,【主力點火資】,False,True,False,10.65,0.47,10.35,-2.36
2347,聯強,TSE,87.3,84.88,87.13,13,0,"(-236, -72, +13)","(+0, +0, +0)",9723,【主力點火資】,False,True,False,87.8,2.93,86.1,0.94
3030,德律,TSE,310.0,300.3,318.0,12,13,"(-518, -29, +12)","(-6, -3, +13)",1556,【主力點火資】,False,True,True,296.5,2.95,249.0,-13.54
2615,萬海,TSE,80.7,80.28,77.87,11,-5,"(-223, -17, +11)","(-2, +27, -5)",5808,【主力點火資】,False,True,False,84.5,6.29,84.4,6.16
3264,欣銓,OTC,237.5,227.9,230.72,10,7,"(-289, +174, +10)","(+12, +3, +7)",5237,【主力點火資】,False,True,False,218.0,1.87,161.0,-24.77
3583,辛耘,TSE,822.35,802.34,838.6,9,-12,"(-90, -44, +9)","(-5, +12, -12)",1309,【主力點火資】,False,True,True,752.01,1.61,594.0,-19.74
2527,宏璟,TSE,49.55,44.92,41.78,8,3,"(+73, +233, +8)","(-1, +10, +3)",2479,【主力點火資】,False,True,False,48.7,1.25,40.55,-15.7
3680,家登,OTC,516.0,512.9,519.1,6,-24,"(+75, +250, +6)","(-8, +21, -24)",2452,【主力點火資】,False,True,True,480.5,3.44,369.5,-20.45
2393,億光,TSE,64.41,64.12,64.19,5,1,"(-96, -45, +5)","(-36, -2, +1)",2193,【主力點火資】,False,True,False,62.0,0.6,56.91,-7.67
1219,福壽,TSE,12.4,12.1,12.33,3,0,"(-40, +15, +3)","(+0, +0, +0)",1073,【主力點火資】,False,True,False,11.65,-4.12,11.65,-4.12
6187,萬潤,OTC,1061.51,1031.88,1047.78,3,-5,"(-199, +181, +3)","(-14, +14, -5)",1779,【主力點火資】,False,True,False,1012.13,5.13,834.39,-13.33
1218,泰山,TSE,16.7,16.4,17.3,2,-7,"(-17, +0, +2)","(-9, -6, -7)",2130,【主力點火資】,False,True,True,15.95,-2.74,16.25,-0.91
1909,榮成,TSE,10.4,10.32,10.07,1,0,"(-223, +627, +1)","(-7, +0, +0)",2751,【主力點火資】,False,True,False,10.1,0.0,10.05,-0.5
2409,友達,TSE,27.18,28.35,29.38,3237,-281,"(-13807, +4246, +3237)","(-2859, -264, -281)",241749,【散戶套牢資 / 留意斷頭】,False,False,True,25.81,1.74,22.2,-12.47
2337,旺宏,TSE,136.5,141.2,151.97,2355,-103,"(+769, +2866, +2355)","(-494, +113, -103)",59570,【散戶套牢資 / 留意斷頭】,False,False,True,129.5,3.6,91.8,-26.56
8046,南電,TSE,1275.0,1293.0,1121.22,1541,53,"(+788, -906, +1541)","(-12, +121, +53)",17084,一般資增,False,False,False,1230.0,6.96,837.0,-27.22
1409,新纖,TSE,26.0,26.13,27.43,1194,-5,"(-69, +200, +1194)","(+14, -17, -5)",23353,【散戶套牢資 / 留意斷頭】,False,False,True,23.8,-2.06,20.2,-16.87
2382,廣達,TSE,352.0,360.51,357.87,1020,499,"(+9, -173, +1020)","(+0, +0, +499)",18147,【散戶套牢資 / 留意斷頭】,False,False,True,336.0,3.23,279.0,-14.29
3042,晶技,TSE,186.5,190.9,201.22,974,-31,"(-1195, +300, +974)","(+12, +4, -31)",12354,【散戶套牢資 / 留意斷頭】,False,False,True,164.5,-2.37,137.0,-18.69
6282,康舒,TSE,53.0,55.92,57.87,781,-20,"(-91, -935, +781)","(-38, +7, -20)",20420,【散戶套牢資 / 留意斷頭】,False,False,True,48.9,0.2,38.85,-20.39
2515,中工,TSE,13.0,13.01,12.92,687,1,"(+338, -193, +687)","(+0, +0, +1)",10092,一般資增,False,False,False,12.3,0.41,11.65,-4.9
2881,富邦金,TSE,125.0,126.0,126.46,668,-27,"(+172, -58, +668)","(-4, +35, -27)",20871,【散戶套牢資 / 留意斷頭】,False,False,True,128.5,3.21,124.0,-0.4
3037,欣興,TSE,882.0,894.0,942.49,512,-36,"(-353, +1242, +512)","(-5, +116, -36)",24368,【散戶套牢資 / 留意斷頭】,False,False,True,896.0,12.85,716.0,-9.82
2388,威盛,TSE,72.6,72.76,74.02,497,-25,"(-131, +158, +497)","(-37, +10, -25)",6476,【散戶套牢資 / 留意斷頭】,False,False,True,73.4,11.38,65.3,-0.91
1905,華紙,TSE,14.8,15.06,16.31,487,-11,"(+277, +183, +487)","(-16, -62, -11)",2657,【散戶套牢資 / 留意斷頭】,False,False,True,14.15,-1.39,12.5,-12.89
3717,聯嘉投控,TSE,24.1,24.67,25.27,438,7,"(-138, +191, +438)","(+367, +37, +7)",3067,【散戶套牢資 / 留意斷頭】,False,False,True,22.8,1.56,20.3,-9.58
2451,創見,TSE,247.5,249.1,266.09,435,-90,"(-180, +444, +435)","(+14, -87, -90)",3285,【散戶套牢資 / 留意斷頭】,False,False,True,244.5,6.3,269.5,17.17
3591,艾笛森,TSE,23.35,24.34,25.88,423,-2,"(-2, +3, +423)","(-1, +0, -2)",1038,【散戶套牢資 / 留意斷頭】,False,False,True,20.7,-2.59,18.05,-15.06
2547,日勝生,TSE,10.3,10.4,10.37,388,0,"(-170, -658, +388)","(+0, +0, +0)",4274,【散戶套牢資 / 留意斷頭】,False,False,True,10.1,-1.94,10.35,0.49
8043,蜜望實,OTC,153.0,159.8,186.72,383,-16,"(-222, +345, +383)","(-158, -75, -16)",6812,【散戶套牢資 / 留意斷頭】,False,False,True,146.0,3.55,115.0,-18.44
3006,晶豪科,TSE,220.0,228.3,228.2,367,-223,"(-223, -345, +367)","(-21, +135, -223)",11960,【散戶套牢資 / 留意斷頭】,False,False,True,212.5,7.32,164.0,-17.17
8112,至上,TSE,85.8,86.26,88.59,353,184,"(+68, -180, +353)","(+77, +238, +184)",10468,【散戶套牢資 / 留意斷頭】,False,False,True,88.0,7.45,75.6,-7.69
2376,技嘉,TSE,324.98,325.37,323.63,331,-4,"(+28, +85, +331)","(+81, -27, -4)",3823,一般資增,False,False,False,341.86,9.08,307.14,-2.0
6116,彩晶,TSE,16.1,16.46,18.04,326,-273,"(-1944, +54, +326)","(-729, -5785, -273)",31824,【散戶套牢資 / 留意斷頭】,False,False,True,14.35,-4.33,11.8,-21.33
4919,新唐,TSE,156.5,162.1,174.12,310,346,"(-697, +335, +310)","(+113, -191, +346)",7228,【散戶套牢資 / 留意斷頭】,False,False,True,141.0,0.0,106.5,-24.47
3211,順達,OTC,426.5,441.0,417.34,289,18,"(+150, +1152, +289)","(-10, -3, +18)",7077,一般資增,False,False,False,391.5,1.56,285.5,-25.94
2478,大毅,TSE,158.0,165.2,203.51,277,-160,"(-808, +698, +277)","(-17, +168, -160)",6536,【散戶套牢資 / 留意斷頭】,False,False,True,138.0,-3.16,99.9,-29.89
2324,仁寶,TSE,35.95,36.18,35.96,275,-82,"(-457, +453, +275)","(-17, +92, -82)",34209,【散戶套牢資 / 留意斷頭】,False,False,True,36.75,2.08,33.75,-6.25
6285,啟��,TSE,257.0,258.2,253.76,247,-35,"(-397, +206, +247)","(-14, +20, -35)",8985,一般資增,False,False,False,258.5,10.23,204.0,-13.01
6202,盛群,TSE,64.1,69.24,68.41,244,15,"(-198, +343, +244)","(-16, -3, +15)",8329,【散戶套牢資 / 留意斷頭】,False,False,True,56.2,-2.6,48.6,-15.77
3362,先進光,OTC,169.5,176.2,184.47,240,-21,"(-1210, -31, +240)","(-16, -55, -21)",5154,【散戶套牢資 / 留意斷頭】,False,False,True,163.0,4.49,156.5,0.32
2367,燿華,TSE,48.13,49.78,53.75,237,-99,"(-1949, +838, +237)","(-143, +88, -99)",11777,【散戶套牢資 / 留意斷頭】,False,False,True,43.86,-1.56,33.22,-25.45
6139,亞翔,TSE,868.0,871.0,879.15,222,-5,"(+138, +158, +222)","(-27, +8, -5)",2931,【散戶套牢資 / 留意斷頭】,False,False,True,858.0,7.38,643.0,-19.52
2023,燁輝,TSE,13.65,13.98,13.76,218,4,"(-42, +91, +218)","(+1, +0, +4)",1740,【散戶套牢資 / 留意斷頭】,False,False,True,13.95,2.57,13.65,0.37
6274,台燿,OTC,1295.0,1449.0,1629.25,208,217,"(+55, -96, +208)","(+88, -101, +217)",4677,【散戶套牢資 / 留意斷頭】,False,False,True,1335.0,14.1,1010.0,-13.68
2363,矽統,TSE,63.0,64.24,67.62,203,-36,"(-1844, -1004, +203)","(-106, +33, -36)",8236,【散戶套牢資 / 留意斷頭】,False,False,True,57.1,0.71,44.8,-20.99
2329,華泰,TSE,48.95,50.16,53.1,202,-3,"(-606, -129, +202)","(-12, +26, -3)",4606,【散戶套牢資 / 留意斷頭】,False,False,True,47.1,4.32,37.55,-16.83
3317,尼克森,OTC,91.7,92.2,93.48,198,-17,"(+15, +341, +198)","(-104, +18, -17)",2618,【散戶套牢資 / 留意斷頭】,False,False,True,78.9,-6.41,59.3,-29.66
2353,宏��,TSE,30.75,31.4,32.53,195,-1283,"(-515, -532, +195)","(-445, -3613, -1283)",29269,【散戶套牢資 / 留意斷頭】,False,False,True,30.15,1.86,27.9,-5.74
2408,南亞科,TSE,439.0,445.3,439.79,185,-404,"(+5306, +1392, +185)","(+435, -219, -404)",97630,【散戶套牢資 / 留意斷頭】,False,False,True,426.0,7.71,328.0,-17.07
1717,長興,TSE,70.8,71.74,74.18,183,40,"(-489, -95, +183)","(-105, +59, +40)",9438,【散戶套牢資 / 留意斷頭】,False,False,True,62.1,-3.72,55.7,-13.64
8299,群聯,OTC,1980.0,2105.0,2277.53,173,-4,"(-244, +26, +173)","(-6, +2, -4)",3689,【散戶套牢資 / 留意斷頭】,False,False,True,1920.0,7.56,1495.0,-16.25
6153,嘉聯益,TSE,18.2,18.82,20.92,157,-3,"(-110, -33, +157)","(-72, -1, -3)",3877,【散戶套牢資 / 留意斷頭】,False,False,True,16.85,-0.59,13.5,-20.35
2457,飛宏,TSE,26.75,27.15,28.59,150,-40,"(-107, +27, +150)","(+23, -14, -40)",1811,【散戶套牢資 / 留意斷頭】,False,False,True,24.6,0.2,20.15,-17.92
2406,國碩,TSE,33.95,35.89,37.45,147,16,"(-1115, +155, +147)","(+11, +7, +16)",10083,【散戶套牢資 / 留意斷頭】,False,False,True,33.35,8.46,28.35,-7.8
6104,創惟,OTC,97.2,100.42,102.4,147,1,"(+7, +72, +147)","(+0, -4, +1)",1370,【散戶套牢資 / 留意斷頭】,False,False,True,93.0,3.33,84.0,-6.67
8182,加高,OTC,47.05,47.27,50.44,147,8,"(-62, +1, +147)","(+0, +81, +8)",1787,【散戶套牢資 / 留意斷頭】,False,False,True,40.35,-4.83,34.0,-19.81
4114,健喬,OTC,29.94,30.05,28.87,137,0,"(-95, +19, +137)","(-2, +0, +0)",2034,一般資增,False,False,False,29.35,-0.84,29.05,-1.86
6269,台郡,TSE,61.1,61.42,68.86,130,-1,"(-426, +244, +130)","(-33, -4, -1)",2807,【散戶套牢資 / 留意斷頭】,False,False,True,55.7,-0.89,46.0,-18.15
8054,安國,OTC,95.9,96.24,110.11,129,4,"(-114, +97, +129)","(-9, +6, +4)",1306,【散戶套牢資 / 留意斷頭】,False,False,True,92.96,3.29,75.6,-16.0
6446,藥華藥,TSE,1260.0,1263.0,1190.01,125,-14,"(-573, +527, +125)","(+1, +31, -14)",2670,一般資增,False,False,False,1150.0,-3.77,1025.0,-14.23
2855,統一證,TSE,46.35,47.99,49.82,124,4,"(+309, -335, +124)","(+68, -1, +4)",4782,【散戶套牢資 / 留意斷頭】,False,False,True,44.65,1.13,40.1,-9.17
8183,精星,OTC,32.05,33.35,32.87,123,1,"(+85, -26, +123)","(+10, -2, +1)",1045,【散戶套牢資 / 留意斷頭】,False,False,True,30.7,1.99,27.55,-8.47
3093,港建*,OTC,50.9,53.06,63.65,120,0,"(-1281, +10, +120)","(+0, +0, +0)",1106,【散戶套牢資 / 留意斷頭】,False,False,True,49.3,4.23,40.1,-15.22
3714,富采,TSE,57.7,60.42,63.54,116,-8,"(-1234, +106, +116)","(-25, +30, -8)",5980,【散戶套牢資 / 留意斷頭】,False,False,True,53.7,2.29,45.55,-13.24
6190,萬泰科,OTC,75.2,76.34,80.05,102,175,"(+53, -15, +102)","(+0, +0, +175)",1960,【散戶套牢資 / 留意斷頭】,False,False,True,72.4,5.85,57.2,-16.37
